dataset,model,defense,eps,accuracy,precision,recall,f1,auc,asr,infer_time_ms,n_test,seed
cic,rf,none,0.0,0.9987,0.9964,0.9968,0.9966,0.9999,,179.24,60000,42
cic,rf,none,0.01,0.8705,1.0,0.3425,0.5102,0.6206,0.6564,112.42,60000,42
cic,rf,none,0.05,0.8689,0.9771,0.3425,0.5072,0.5883,0.6564,112.66,60000,42
cic,rf,none,0.1,0.8686,0.9733,0.3425,0.5067,0.6114,0.6564,111.88,60000,42
cic,rf,none,0.15,0.8696,0.9866,0.3425,0.5084,0.6093,0.6564,99.01,60000,42
cic,mlp,none,0.0,0.9816,0.9268,0.9843,0.9547,0.9981,,48.54,60000,42
cic,mlp,none,0.01,0.7046,0.2892,0.3425,0.3136,0.3425,0.6521,34.79,60000,42
cic,mlp,none,0.05,0.5183,0.1608,0.3425,0.2188,0.3053,0.6521,45.97,60000,42
cic,mlp,none,0.1,0.3367,0.1122,0.3425,0.169,0.2931,0.6521,26.08,60000,42
cic,mlp,none,0.15,0.2525,0.0984,0.3425,0.1529,0.3354,0.6521,43.44,60000,42
cic,rf,advtrain,0.0,0.9987,0.9966,0.9968,0.9967,0.9999,,137.31,60000,42
cic,rf,advtrain,0.01,1.0,1.0,0.9999,1.0,1.0,0.0,98.94,60000,42
cic,rf,advtrain,0.05,1.0,1.0,1.0,1.0,1.0,0.0,86.56,60000,42
cic,rf,advtrain,0.1,1.0,1.0,1.0,1.0,1.0,0.0,85.84,60000,42
cic,rf,advtrain,0.15,1.0,1.0,1.0,1.0,1.0,0.0,91.41,60000,42
cic,mlp,advtrain,0.0,0.9797,0.944,0.9533,0.9486,0.9982,,27.97,60000,42
cic,mlp,advtrain,0.01,1.0,1.0,0.9999,1.0,0.9999,0.0,48.54,60000,42
cic,mlp,advtrain,0.05,0.9999,0.9999,0.9996,0.9997,1.0,0.0,29.46,60000,42
cic,mlp,advtrain,0.1,0.9999,0.9999,0.9997,0.9998,1.0,0.0,42.49,60000,42
cic,mlp,advtrain,0.15,0.9998,0.9995,0.9997,0.9996,1.0,0.0,40.67,60000,42
