dataset,model,defense,eps,accuracy,precision,recall,f1,auc,asr,infer_time_ms,n_test,seed
unsw,rf,none,0.0,0.8897,0.8465,0.9768,0.907,0.9821,,217.33,82332,42
unsw,rf,none,0.01,0.7302,0.6935,0.914,0.7886,0.6903,0.0757,173.04,82332,42
unsw,rf,none,0.05,0.648,0.6535,0.7677,0.706,0.6694,0.2236,209.51,82332,42
unsw,rf,none,0.1,0.5376,0.5624,0.7213,0.632,0.5388,0.2728,167.94,82332,42
unsw,rf,none,0.15,0.4517,0.5016,0.6763,0.576,0.3544,0.3197,217.17,82332,42
unsw,mlp,none,0.0,0.8195,0.7553,0.9944,0.8585,0.9761,,41.52,82332,42
unsw,mlp,none,0.01,0.7336,0.7025,0.8955,0.7873,0.7946,0.0994,36.85,82332,42
unsw,mlp,none,0.05,0.266,0.3226,0.303,0.3125,0.2546,0.6953,36.94,82332,42
unsw,mlp,none,0.1,0.1073,0.1773,0.1707,0.174,0.0846,0.8285,65.94,82332,42
unsw,mlp,none,0.15,0.1321,0.2271,0.2398,0.2332,0.0714,0.7593,48.71,82332,42
unsw,rf,advtrain,0.0,0.8926,0.8487,0.9797,0.9095,0.9812,,318.28,82332,42
unsw,rf,advtrain,0.01,1.0,1.0,1.0,1.0,1.0,0.0,139.51,82332,42
unsw,rf,advtrain,0.05,1.0,1.0,1.0,1.0,1.0,0.0,140.05,82332,42
unsw,rf,advtrain,0.1,0.9976,0.9957,1.0,0.9978,1.0,0.0,159.58,82332,42
unsw,rf,advtrain,0.15,0.9869,0.9767,1.0,0.9882,1.0,0.0,133.3,82332,42
unsw,mlp,advtrain,0.0,0.8607,0.8046,0.9866,0.8864,0.979,,41.56,82332,42
unsw,mlp,advtrain,0.01,0.9991,0.9991,0.9994,0.9992,1.0,0.0005,34.58,82332,42
unsw,mlp,advtrain,0.05,0.9981,0.9975,0.9989,0.9982,0.9999,0.001,43.32,82332,42
unsw,mlp,advtrain,0.1,0.988,0.9799,0.9987,0.9892,0.9996,0.0013,46.09,82332,42
unsw,mlp,advtrain,0.15,0.9877,0.9805,0.9975,0.9889,0.9995,0.0025,43.09,82332,42
